x,y,z,p0,p1
3.140157e-03,5.991777e-02,0.000000e+00,1.000000e+00,9.986295e-01
1.836970e-18,6.000000e-02,0.000000e+00,1.000000e+00,1.000000e+00
3.140157e-03,5.991777e-02,5.555556e-03,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,2.777778e-03,1.000000e+00,9.986295e-01
1.570617e-03,5.997944e-02,2.777778e-03,1.000000e+00,9.996573e-01
1.570617e-03,5.997944e-02,0.000000e+00,1.000000e+00,9.996573e-01
3.140157e-03,5.991777e-02,2.000000e-01,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,1.944444e-01,1.000000e+00,9.986295e-01
1.836970e-18,6.000000e-02,2.000000e-01,1.000000e+00,1.000000e+00
3.140157e-03,5.991777e-02,1.972222e-01,1.000000e+00,9.986295e-01
1.570617e-03,5.997944e-02,2.000000e-01,1.000000e+00,9.996573e-01
1.570617e-03,5.997944e-02,1.972222e-01,1.000000e+00,9.996573e-01
3.140157e-03,5.991777e-02,2.222222e-02,1.000000e+00,9.986295e-01
-3.140157e-03,5.991777e-02,2.222222e-02,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,1.111111e-02,1.000000e+00,9.986295e-01
0.000000e+00,6.000000e-02,2.222222e-02,1.000000e+00,1.000000e+00
-2.384976e-10,6.000000e-02,1.666667e-02,1.000000e+00,1.000000e+00
3.140157e-03,5.991777e-02,1.666667e-02,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,3.333333e-02,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,2.777778e-02,1.000000e+00,9.986295e-01
-2.384976e-10,6.000000e-02,2.777778e-02,1.000000e+00,1.000000e+00
3.140157e-03,5.991777e-02,4.444444e-02,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,5.555556e-02,1.000000e+00,9.986295e-01
-3.140157e-03,5.991777e-02,4.444444e-02,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,5.000000e-02,1.000000e+00,9.986295e-01
-2.384976e-10,6.000000e-02,5.000000e-02,1.000000e+00,1.000000e+00
0.000000e+00,6.000000e-02,4.444444e-02,1.000000e+00,1.000000e+00
-3.140157e-03,5.991777e-02,3.333333e-02,1.000000e+00,9.986295e-01
-3.140157e-03,5.991777e-02,3.888889e-02,1.000000e+00,9.986295e-01
0.000000e+00,6.000000e-02,3.888889e-02,1.000000e+00,1.000000e+00
0.000000e+00,6.000000e-02,3.333333e-02,1.000000e+00,1.000000e+00
3.140157e-03,5.991777e-02,3.888889e-02,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,6.666667e-02,1.000000e+00,9.986295e-01
-3.140157e-03,5.991777e-02,6.666667e-02,1.000000e+00,9.986295e-01
0.000000e+00,6.000000e-02,6.666667e-02,1.000000e+00,1.000000e+00
-2.384976e-10,6.000000e-02,6.111111e-02,1.000000e+00,1.000000e+00
3.140157e-03,5.991777e-02,6.111111e-02,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,7.777778e-02,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,7.222222e-02,1.000000e+00,9.986295e-01
-2.384976e-10,6.000000e-02,7.222222e-02,1.000000e+00,1.000000e+00
3.140157e-03,5.991777e-02,8.888889e-02,1.000000e+00,9.986295e-01
-3.140157e-03,5.991777e-02,8.888889e-02,1.000000e+00,9.986295e-01
0.000000e+00,6.000000e-02,8.888889e-02,1.000000e+00,1.000000e+00
-2.384976e-10,6.000000e-02,8.333333e-02,1.000000e+00,1.000000e+00
3.140157e-03,5.991777e-02,8.333333e-02,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,1.000000e-01,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,9.444444e-02,1.000000e+00,9.986295e-01
-2.384976e-10,6.000000e-02,9.444444e-02,1.000000e+00,1.000000e+00
3.140157e-03,5.991777e-02,1.111111e-01,1.000000e+00,9.986295e-01
-3.140157e-03,5.991777e-02,1.111111e-01,1.000000e+00,9.986295e-01
0.000000e+00,6.000000e-02,1.111111e-01,1.000000e+00,1.000000e+00
-2.384976e-10,6.000000e-02,1.055556e-01,1.000000e+00,1.000000e+00
3.140157e-03,5.991777e-02,1.055556e-01,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,1.222222e-01,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,1.166667e-01,1.000000e+00,9.986295e-01
-2.384976e-10,6.000000e-02,1.166667e-01,1.000000e+00,1.000000e+00
3.140157e-03,5.991777e-02,1.333333e-01,1.000000e+00,9.986295e-01
-3.140157e-03,5.991777e-02,1.333333e-01,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,1.277778e-01,1.000000e+00,9.986295e-01
0.000000e+00,6.000000e-02,1.333333e-01,1.000000e+00,1.000000e+00
-2.384976e-10,6.000000e-02,1.277778e-01,1.000000e+00,1.000000e+00
3.140157e-03,5.991777e-02,1.444444e-01,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,1.388889e-01,1.000000e+00,9.986295e-01
-2.384976e-10,6.000000e-02,1.388889e-01,1.000000e+00,1.000000e+00
3.140157e-03,5.991777e-02,1.555556e-01,1.000000e+00,9.986295e-01
-3.140157e-03,5.991777e-02,1.555556e-01,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,1.500000e-01,1.000000e+00,9.986295e-01
0.000000e+00,6.000000e-02,1.555556e-01,1.000000e+00,1.000000e+00
-2.384976e-10,6.000000e-02,1.500000e-01,1.000000e+00,1.000000e+00
3.140157e-03,5.991777e-02,1.666667e-01,1.000000e+00,9.986295e-01
3.140157e-03,5.991777e-02,1.611111e-01,1.000000e+00,9.986295e-01
