x,y,z,real,imag
2.4151268005371093e-02,7.5868522644042966e-02,-2.2189881896972657e-01,2.0196586582353371e+00,3.3434329122091988e-02
2.1082120895385741e-02,7.9810607910156248e-02,-2.1784381103515624e-01,2.0596007322313277e+00,3.1615147088617945e-01
2.9298515319824220e-02,7.7530189514160158e-02,-2.1684779357910156e-01,2.0129802676151578e+00,-2.4780598480824478e-02
-1.5292668342590332e-02,8.5335372924804684e-02,-2.0903117370605467e-01,2.1728915312908570e+00,1.8924150448443058e+00
-2.1915012359619141e-02,8.4870117187499997e-02,-2.0717953491210939e-01,2.1712090661256407e+00,2.1338230131213773e+00
-1.5651038169860840e-02,8.8860237121582031e-02,-2.0333958435058594e-01,2.1794792904166034e+00,2.0011129724658989e+00
-1.1181751251220703e-01,6.3031726837158200e-02,-2.0728343200683594e-01,1.7147187937605670e+00,3.9363923490518955e+00
-1.1458476257324218e-01,5.7775608062744142e-02,-2.0687298583984376e-01,1.6692577890000786e+00,3.9331641911701016e+00
-1.1893730926513672e-01,6.5136474609374995e-02,-2.0611013793945313e-01,1.6913052630112204e+00,4.0055468481860714e+00
8.0603118896484374e-02,-3.0233922958374022e-02,-1.1554144287109375e-01,1.9993145826593617e-01,-1.0795068206383160e+00
8.4957778930664057e-02,-2.3648689270019532e-02,-1.1683435058593750e-01,2.2520948608055180e-01,-1.0782747968259900e+00
7.6387123107910154e-02,-2.3956825256347656e-02,-1.1531448364257812e-01,2.4220958208362486e-01,-8.0648686023701455e-01
1.6584455490112306e-02,8.2102462768554693e-02,-2.1532247924804687e-01,2.0886061222441761e+00,5.6326425672868563e-01
1.6266231536865235e-02,8.5338584899902342e-02,-2.0841027832031250e-01,2.1168432950642817e+00,7.8276528914767263e-01
2.3061643600463866e-02,8.2745544433593748e-02,-2.1103004455566407e-01,2.0774268654399810e+00,4.3877369694452328e-01
-1.4537501525878907e-01,-1.9399826049804687e-02,-1.6031681823730468e-01,8.8025780162925149e-01,3.3154804600680325e+00
-1.4116896057128905e-01,-1.8291828155517578e-02,-1.5482125854492187e-01,8.7215015344674618e-01,3.3290385711298378e+00
-1.4534283447265625e-01,-1.1954554557800293e-02,-1.5836137390136718e-01,9.3015283936805149e-01,3.4394364208671990e+00
1.1142742919921875e-01,1.2900241088867187e-01,-2.0150003051757812e-01,2.0908754109587813e+00,1.4746911942322685e+00
1.0797097778320312e-01,1.2610040283203125e-01,-2.0717320251464844e-01,2.0960876460774953e+00,1.2923420444158928e+00
1.0518424224853516e-01,1.3166511535644532e-01,-2.0324191284179688e-01,2.1050557521125235e+00,1.5003374637926803e+00
9.9595344543457032e-02,4.1382286071777345e-02,-1.4665776062011718e-01,7.8312357506401364e-01,7.3566203291208399e-01
